date,closing price,"
Compared to the previous day",fluctuation rate,market price,high price,low price,trading volume,transaction amount,market capitalization,Number of listed stocks
2023-12-27,78000,1400,1.83,76700,78000,76500,20651042,1.60012E+12,4.65643E+14,5969782550
2023-12-26,76600,700,0.92,76100,76700,75700,13164909,1.00544E+12,4.57285E+14,5969782550
2023-12-22,75900,900,1.2,75800,76300,75400,14515608,1.10029E+12,4.53106E+14,5969782550
2023-12-21,75000,200,0.27,74600,75000,74300,13478766,1.00694E+12,4.47734E+14,5969782550
2023-12-20,74800,1400,1.91,74200,74900,73800,16870156,1.25349E+12,4.4654E+14,5969782550
2023-12-19,73400,500,0.69,73000,73400,72800,8907632,6.50825E+11,4.38182E+14,5969782550
2023-12-18,72900,-400,-0.55,73300,73400,72800,9690551,7.08307E+11,4.35197E+14,5969782550
2023-12-15,73300,200,0.27,73800,74000,73200,15419815,1.13448E+12,4.37585E+14,5969782550
2023-12-14,73100,300,0.41,74100,74300,72500,27567593,2.02536E+12,4.36391E+14,5969782550
2023-12-13,72800,-700,-0.95,73300,73500,72800,13116766,9.59556E+11,4.346E+14,5969782550
2023-12-12,73500,500,0.68,73300,73500,73100,13758646,1.00914E+12,4.38779E+14,5969782550
2023-12-11,73000,400,0.55,72800,73000,72200,9861960,7.16958E+11,4.35794E+14,5969782550
2023-12-08,72600,1100,1.54,72100,72800,71900,10859463,7.8723E+11,4.33406E+14,5969782550
2023-12-07,71500,-200,-0.28,71800,71900,71100,8862017,6.33466E+11,4.26839E+14,5969782550
2023-12-06,71700,500,0.7,71800,72100,71600,8123087,5.8371E+11,4.28033E+14,5969782550
2023-12-05,71200,-1400,-1.93,72300,72400,71200,12129682,8.67872E+11,4.25049E+14,5969782550
2023-12-04,72600,600,0.83,72800,72900,72400,10229267,7.4336E+11,4.33406E+14,5969782550
2023-12-01,72000,-800,-1.1,72400,72500,71700,9871284,7.1094E+11,4.29824E+14,5969782550
2023-11-30,72800,100,0.14,72700,72800,72200,15783714,1.14643E+12,4.346E+14,5969782550
2023-11-29,72700,0,0,72400,72800,72200,9283933,6.73194E+11,4.34003E+14,5969782550
2023-11-28,72700,1400,1.96,71400,72700,71300,13283081,9.58104E+11,4.34003E+14,5969782550
2023-11-27,71300,-400,-0.56,71500,72100,71100,9113857,6.5155E+11,4.25645E+14,5969782550
2023-11-24,71700,-700,-0.97,72400,72600,71700,6676685,4.81177E+11,4.28033E+14,5969782550
2023-11-23,72400,-400,-0.55,73000,73200,72200,6775614,4.91572E+11,4.32212E+14,5969782550
2023-11-22,72800,0,0,72200,73000,71900,11105143,8.0372E+11,4.346E+14,5969782550
2023-11-21,72800,100,0.14,73100,73400,72700,9712881,7.09805E+11,4.346E+14,5969782550
2023-11-20,72700,200,0.28,72100,73000,72100,10610157,7.71288E+11,4.34003E+14,5969782550
2023-11-17,72500,-300,-0.41,72300,73000,72300,11494644,8.34899E+11,4.32809E+14,5969782550
2023-11-16,72800,600,0.83,72500,73000,72300,15860451,1.15162E+12,4.346E+14,5969782550
2023-11-15,72200,1400,1.98,71600,72200,71500,20148677,1.44928E+12,4.31018E+14,5969782550
2023-11-14,70800,400,0.57,71000,71100,70600,9567984,6.78177E+11,4.22661E+14,5969782550
2023-11-13,70400,-100,-0.14,71300,71300,70300,9246919,6.53603E+11,4.20273E+14,5969782550
2023-11-10,70500,200,0.28,70000,70500,69500,9684347,6.77562E+11,4.2087E+14,5969782550
2023-11-09,70300,400,0.57,69900,70800,69600,12301373,8.65006E+11,4.19676E+14,5969782550
2023-11-08,69900,-1000,-1.41,71300,71400,69700,12901310,9.08216E+11,4.17288E+14,5969782550
2023-11-07,70900,0,0,70600,70900,70000,17228731,1.21317E+12,4.23258E+14,5969782550
2023-11-06,70900,1300,1.87,69800,70900,69300,22228489,1.55502E+12,4.23258E+14,5969782550
2023-11-03,69600,-100,-0.14,69700,70200,69500,10322234,7.20443E+11,4.15497E+14,5969782550
2023-11-02,69700,1100,1.6,70000,70000,69400,16350031,1.14076E+12,4.16094E+14,5969782550
2023-11-01,68600,1700,2.54,67500,68900,67300,13775256,9.39331E+11,4.09527E+14,5969782550
2023-10-31,66900,-400,-0.59,67600,68300,66900,14488892,9.753E+11,3.99378E+14,5969782550
2023-10-30,67300,0,0,66800,67800,66700,10139270,6.81863E+11,4.01766E+14,5969782550
2023-10-27,67300,600,0.9,67100,67300,66700,11334726,7.59193E+11,4.01766E+14,5969782550
2023-10-26,66700,-1300,-1.91,67000,67900,66700,15517624,1.04015E+12,3.98184E+14,5969782550
2023-10-25,68000,-500,-0.73,68800,68800,67900,10610703,7.24468E+11,4.05945E+14,5969782550
2023-10-24,68500,100,0.15,68700,68800,67700,12791710,8.74148E+11,4.0893E+14,5969782550
2023-10-23,68400,-400,-0.58,68700,69100,68200,11625959,7.96396E+11,4.08333E+14,5969782550
2023-10-20,68800,-700,-1.01,68900,69200,68100,15204495,1.04522E+12,4.10721E+14,5969782550
2023-10-19,69500,-1000,-1.42,69700,70000,69400,13985012,9.73452E+11,4.149E+14,5969782550
2023-10-18,70500,1100,1.59,68900,70500,68800,16493184,1.15321E+12,4.2087E+14,5969782550
2023-10-17,69400,2100,3.12,67700,69900,67400,17299253,1.18835E+12,4.14303E+14,5969782550
2023-10-16,67300,-700,-1.03,67900,68500,66800,12599299,8.48737E+11,4.01766E+14,5969782550
2023-10-13,68000,-900,-1.31,68000,68500,67700,9724086,6.61424E+11,4.05945E+14,5969782550
2023-10-12,68900,700,1.03,68600,69700,68200,19311380,1.33025E+12,4.11318E+14,5969782550
2023-10-11,68200,1800,2.71,68600,69400,67900,25209349,1.72859E+12,4.07139E+14,5969782550
2023-10-10,66400,400,0.61,66200,67600,66200,19889202,1.33141E+12,3.96394E+14,5969782550
2023-10-06,66000,-700,-1.05,67100,67300,66000,14386527,9.55787E+11,3.94006E+14,5969782550
2023-10-05,66700,-800,-1.19,67300,67400,66700,16108313,1.07838E+12,3.98184E+14,5969782550
2023-10-04,67500,-900,-1.32,67400,67700,66700,23361149,1.56987E+12,4.0296E+14,5969782550
2023-09-27,68400,-200,-0.29,68600,69100,68200,14886491,1.01987E+12,4.08333E+14,5969782550
2023-09-26,68600,-800,-1.15,70000,70000,68400,13143470,9.0438E+11,4.09527E+14,5969782550
2023-09-25,69400,600,0.87,68500,69700,68500,13582516,9.40526E+11,4.14303E+14,5969782550
2023-09-22,68800,-100,-0.15,68300,68900,68300,9897840,6.78768E+11,4.10721E+14,5969782550
2023-09-21,68900,-700,-1.01,69200,69800,68800,10796336,7.4668E+11,4.11318E+14,5969782550
2023-09-20,69600,-200,-0.29,70000,70300,69500,10873015,7.58467E+11,4.15497E+14,5969782550
2023-09-19,69800,-400,-0.57,70400,70800,69600,11820188,8.28073E+11,4.16691E+14,5969782550
2023-09-18,70200,-1800,-2.5,71300,71700,70200,16040727,1.13419E+12,4.19079E+14,5969782550
2023-09-15,72000,300,0.42,71700,72300,71400,17823512,1.28367E+12,4.29824E+14,5969782550
2023-09-14,71700,800,1.13,71200,71800,70800,21041407,1.50449E+12,4.28033E+14,5969782550
2023-09-13,70900,400,0.57,71100,71600,70300,15955797,1.13186E+12,4.23258E+14,5969782550
2023-09-12,70500,-300,-0.42,70800,71000,70400,11688599,8.25296E+11,4.2087E+14,5969782550
2023-09-11,70800,500,0.71,70400,70800,70000,11785462,8.30035E+11,4.22661E+14,5969782550
2023-09-08,70300,-100,-0.14,70200,70300,69600,10688118,7.47653E+11,4.19676E+14,5969782550
2023-09-07,70400,400,0.57,70000,70600,69600,13741241,9.64327E+11,4.20273E+14,5969782550
2023-09-06,70000,-700,-0.99,70700,70800,69700,11414620,7.99882E+11,4.17885E+14,5969782550
2023-09-05,70700,-500,-0.7,70900,71500,70200,12330239,8.71402E+11,4.22064E+14,5969782550
2023-09-04,71200,200,0.28,72900,72900,70700,26286495,1.8813E+12,4.25049E+14,5969782550
2023-09-01,71000,4100,6.13,66800,71000,66700,29738235,2.06418E+12,4.23855E+14,5969782550
2023-08-31,66900,-200,-0.3,67100,67200,66400,15964630,1.06635E+12,3.99378E+14,5969782550
2023-08-30,67100,300,0.45,67300,67700,67100,9181223,6.18598E+11,4.00572E+14,5969782550
2023-08-29,66800,0,0,66900,67200,66600,9114352,6.08551E+11,3.98781E+14,5969782550
2023-08-28,66800,-300,-0.45,66800,67000,66500,5824628,3.88538E+11,3.98781E+14,5969782550
2023-08-25,67100,-1100,-1.61,67100,67400,66900,7032462,4.71934E+11,4.00572E+14,5969782550
2023-08-24,68200,1100,1.64,68300,68700,67900,15044463,1.02698E+12,4.07139E+14,5969782550
2023-08-23,67100,500,0.75,66700,67100,66400,9549352,6.38222E+11,4.00572E+14,5969782550
2023-08-22,66600,0,0,67200,67700,66300,10500242,7.02152E+11,3.97588E+14,5969782550
2023-08-21,66600,300,0.45,66600,67100,66300,9720067,6.47499E+11,3.97588E+14,5969782550
2023-08-18,66300,-400,-0.6,66000,66700,65800,11745006,7.78551E+11,3.95797E+14,5969782550
2023-08-17,66700,-300,-0.45,66300,66800,66000,10778652,7.16096E+11,3.98184E+14,5969782550
2023-08-16,67000,-300,-0.45,66700,67100,66300,13174578,8.79111E+11,3.99975E+14,5969782550
2023-08-14,67300,-200,-0.3,67500,67900,66900,9352343,6.29306E+11,4.01766E+14,5969782550
2023-08-11,67500,-500,-0.74,68400,68800,67500,9781038,6.64313E+11,4.0296E+14,5969782550
2023-08-10,68000,-900,-1.31,68300,68500,67800,10227311,6.95338E+11,4.05945E+14,5969782550
2023-08-09,68900,1300,1.92,68000,69600,67900,17259673,1.1901E+12,4.11318E+14,5969782550
2023-08-08,67600,-900,-1.31,69000,69100,67400,14664709,9.95836E+11,4.03557E+14,5969782550
2023-08-07,68500,200,0.29,67700,69200,67600,10968505,7.53452E+11,4.0893E+14,5969782550
2023-08-04,68300,-500,-0.73,68800,69100,68200,12360193,8.46916E+11,4.07736E+14,5969782550
2023-08-03,68800,-1100,-1.57,69900,70200,68500,20087090,1.39367E+12,4.10721E+14,5969782550
2023-08-02,69900,-1200,-1.69,70700,71000,69800,13835020,9.72618E+11,4.17288E+14,5969782550
2023-08-01,71100,1300,1.86,70100,71200,70000,12299254,8.69663E+11,4.24452E+14,5969782550
2023-07-31,69800,-800,-1.13,70900,71000,69800,13035420,9.14994E+11,4.16691E+14,5969782550
2023-07-28,70600,-1100,-1.53,71800,72400,70100,19420683,1.37412E+12,4.21467E+14,5969782550
2023-07-27,71700,1900,2.72,69900,71700,69300,24261179,1.71636E+12,4.28033E+14,5969782550
2023-07-26,69800,-200,-0.29,69800,70600,68100,30016221,2.07408E+12,4.16691E+14,5969782550
2023-07-25,70000,-400,-0.57,70000,70500,69800,14314945,1.00255E+12,4.17885E+14,5969782550
2023-07-24,70400,100,0.14,70100,70900,69900,13418597,9.45209E+11,4.20273E+14,5969782550
2023-07-21,70300,-700,-0.99,70400,70400,69400,16528926,1.15539E+12,4.19676E+14,5969782550
2023-07-20,71000,-700,-0.98,71100,71500,70800,9732730,6.92488E+11,4.23855E+14,5969782550
2023-07-19,71700,-300,-0.42,72700,72800,71300,10896412,7.82147E+11,4.28033E+14,5969782550
2023-07-18,72000,-1300,-1.77,73200,73500,72000,11697900,8.47564E+11,4.29824E+14,5969782550
2023-07-17,73300,-100,-0.14,73200,73500,72800,10060049,7.36819E+11,4.37585E+14,5969782550
2023-07-14,73400,1500,2.09,72500,73400,72400,15882519,1.15993E+12,4.38182E+14,5969782550
2023-07-13,71900,0,0,72400,72600,71900,14417279,1.04164E+12,4.29227E+14,5969782550
2023-07-12,71900,400,0.56,71200,72000,71100,10375581,7.42662E+11,4.29227E+14,5969782550
2023-07-11,71500,2000,2.88,70200,71500,70100,12177392,8.63674E+11,4.26839E+14,5969782550
2023-07-10,69500,-400,-0.57,70000,70400,69200,11713926,8.16772E+11,4.149E+14,5969782550
2023-07-07,69900,-1700,-2.37,71100,71400,69800,17308877,1.2154E+12,4.17288E+14,5969782550
2023-07-06,71600,-400,-0.56,71900,72400,71500,14777667,1.06149E+12,4.27436E+14,5969782550
2023-07-05,72000,-1000,-1.37,73000,73300,71900,12310610,8.89637E+11,4.29824E+14,5969782550
2023-07-04,73000,0,0,73400,73600,72900,10214350,7.47624E+11,4.35794E+14,5969782550
2023-07-03,73000,800,1.11,72700,73200,72600,10722181,7.82251E+11,4.35794E+14,5969782550
2023-06-30,72200,-200,-0.28,72500,72700,71700,11694765,8.44354E+11,4.31018E+14,5969782550
2023-06-29,72400,-300,-0.41,73100,73400,72400,12229967,8.91731E+11,4.32212E+14,5969782550
2023-06-28,72700,100,0.14,72600,72700,72000,8783093,6.35517E+11,4.34003E+14,5969782550
2023-06-27,72600,200,0.28,72500,72600,72000,9442997,6.83625E+11,4.33406E+14,5969782550
2023-06-26,72400,800,1.12,71700,72500,71500,10541901,7.61525E+11,4.32212E+14,5969782550
