date,institution total,Other legal entities,individual,foreigner,total
2023-12-27,7427100,179581,6326993,6717368,20651042
2023-12-26,7977874,126313,2343012,2717710,13164909
2023-12-22,7872827,191278,2621866,3829637,14515608
2023-12-21,5907461,99614,2322948,5148743,13478766
2023-12-20,10237723,80411,2603258,3948764,16870156
2023-12-19,5286665,24364,1155751,2440852,8907632
2023-12-18,4245291,79095,2209680,3156485,9690551
2023-12-15,6643643,33282,1450821,7292069,15419815
2023-12-14,15416894,136724,3847301,8166674,27567593
2023-12-13,6631399,65736,1592857,4826774,13116766
2023-12-12,7520293,21790,1064685,5151878,13758646
2023-12-11,4254012,14070,916373,4677505,9861960
2023-12-08,5981363,26637,867524,3983939,10859463
2023-12-07,4093444,16743,1113437,3638393,8862017
2023-12-06,3666981,8968,666866,3780272,8123087
2023-12-05,4487703,83950,3240013,4318016,12129682
2023-12-04,4865027,40820,696695,4626725,10229267
2023-12-01,4737279,36982,1874851,3222172,9871284
2023-11-30,5410570,32527,1027009,9313608,15783714
2023-11-29,3722523,5957,1065667,4489786,9283933
2023-11-28,7337773,14800,881421,5049087,13283081
2023-11-27,4586461,51377,1696221,2779798,9113857
2023-11-24,3058943,33275,1754507,1829960,6676685
2023-11-23,2943015,62499,1509311,2260789,6775614
2023-11-22,5105051,27470,1758293,4214329,11105143
2023-11-21,3789954,42532,1538232,4342163,9712881
2023-11-20,6168541,28437,987548,3425631,10610157
2023-11-17,4356198,17673,994490,6126283,11494644
2023-11-16,5493630,24981,1428809,8913031,15860451
2023-11-15,9940952,88977,2127844,7990904,20148677
2023-11-14,6925513,3513,974390,1664568,9567984
2023-11-13,5629299,40566,1317515,2259539,9246919
2023-11-10,5643443,54221,1447735,2538948,9684347
2023-11-09,6854946,36860,922641,4486926,12301373
2023-11-08,7834160,50850,2355531,2660769,12901310
2023-11-07,7861776,38791,1849735,7478429,17228731
2023-11-06,11055703,226264,4995345,5951177,22228489
2023-11-03,3798336,40972,1445178,5037748,10322234
2023-11-02,8290197,69586,1534816,6455432,16350031
2023-11-01,7699181,66108,1694592,4315375,13775256
2023-10-31,7566026,132752,1831441,4958673,14488892
2023-10-30,6149004,54150,1135964,2800152,10139270
2023-10-27,5123374,20194,1720083,4471075,11334726
2023-10-26,7170688,93529,3777702,4475705,15517624
2023-10-25,5842112,71239,2039798,2657554,10610703
2023-10-24,6718667,128407,2352913,3591723,12791710
2023-10-23,6109228,70769,1689378,3756584,11625959
2023-10-20,6055026,65593,2359644,6724232,15204495
2023-10-19,5617611,72354,1926137,6368910,13985012
2023-10-18,5837682,59000,1360840,9235662,16493184
2023-10-17,5447778,71794,1961694,9817987,17299253
2023-10-16,5956461,31703,2618061,3993074,12599299
2023-10-13,3243752,24213,2194138,4261983,9724086
2023-10-12,11430840,38947,2660922,5180671,19311380
2023-10-11,11458459,66090,2706643,10978157,25209349
2023-10-10,10652274,89361,2869646,6277921,19889202
2023-10-06,7255549,72894,4860461,2197623,14386527
2023-10-05,7428936,62496,4380277,4236604,16108313
2023-10-04,8106515,117029,5374969,9762636,23361149
2023-09-27,5662001,30782,2230887,6962821,14886491
2023-09-26,5252567,80212,3354303,4456388,13143470
2023-09-25,6443177,32206,1676536,5430597,13582516
2023-09-22,3346975,54201,2357889,4138775,9897840
2023-09-21,2816691,116769,2890024,4972852,10796336
2023-09-20,5114969,71829,2251133,3435084,10873015
2023-09-19,5089882,74437,3373125,3282744,11820188
2023-09-18,7254175,52341,4421260,4312951,16040727
2023-09-15,10351200,71433,1510957,5889922,17823512
2023-09-14,16686369,61017,2003064,2290957,21041407
2023-09-13,9134889,53148,2150133,4617627,15955797
2023-09-12,6934592,21724,1534061,3198222,11688599
2023-09-11,7296651,17299,1334343,3137169,11785462
2023-09-08,5788923,48138,1839418,3011639,10688118
2023-09-07,6804761,36154,1911698,4988628,13741241
